# Séparation, actif, 80 (Up to date)
# 403 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (32,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
10.5,973.498,277.646
10.55,975.26,278.737
10.6,976.994,279.825
10.65,978.701,280.911
10.7,980.38,281.995
10.75,982.031,283.076
10.8,983.655,284.156
10.85,985.251,285.233
10.9,986.82,286.309
10.95,988.362,287.382
11,989.876,288.454
11.05,991.364,289.523
11.1,992.825,290.59
11.15,994.258,291.656
11.2,995.665,292.72
11.25,997.046,293.781
11.3,998.399,294.841
11.35,999.726,295.899
11.4,1001.027,296.955
11.45,1002.301,298.009
11.5,1003.548,299.062
11.55,1004.77,300.113
11.6,1005.965,301.162
11.65,1007.134,302.209
11.7,1008.277,303.254
11.75,1009.394,304.298
11.8,1010.485,305.341
11.85,1011.55,306.381
11.9,1012.59,307.42
11.95,1013.603,308.457
12,1014.591,309.493
12.05,1015.554,310.527
12.1,1016.491,311.56
12.15,1017.402,312.591
12.2,1018.288,313.621
12.25,1019.148,314.649
12.3,1019.983,315.675
12.35,1020.793,316.7
12.4,1021.578,317.724
12.45,1022.337,318.746
12.5,1023.072,319.767
12.55,1023.781,320.786
12.6,1024.465,321.804
12.65,1025.125,322.82
12.7,1025.759,323.835
12.75,1026.369,324.849
12.8,1026.953,325.861
12.85,1027.513,326.872
12.9,1028.049,327.882
12.95,1028.559,328.89
13,1029.046,329.897
13.05,1029.507,330.903
13.1,1029.944,331.907
13.15,1030.357,332.911
13.2,1030.745,333.913
13.25,1031.109,334.913
13.3,1031.448,335.913
13.35,1031.763,336.911
13.4,1032.054,337.908
13.45,1032.321,338.904
13.5,1032.563,339.899
13.55,1032.782,340.892
13.6,1032.976,341.885
13.65,1033.147,342.876
13.7,1033.293,343.866
13.75,1033.415,344.855
13.8,1033.514,345.844
13.85,1033.588,346.831
13.9,1033.639,347.817
13.95,1033.666,348.802
# Event APOGEE occurred at t=14 seconds
14,1033.669,349.786
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=14.001 seconds
14.05,1033.648,350.769
14.15,1033.534,352.725
14.252,1033.32,354.683
14.354,1033.003,356.64
14.458,1032.582,358.598
14.563,1032.053,360.555
14.67,1031.414,362.513
14.777,1030.662,364.47
14.886,1029.794,366.428
14.997,1028.806,368.386
15.109,1027.696,370.345
15.223,1026.459,372.307
15.339,1025.091,374.271
15.456,1023.586,376.238
15.576,1021.939,378.21
15.697,1020.145,380.186
15.821,1018.195,382.17
15.948,1016.082,384.161
16.078,1013.797,386.161
16.21,1011.331,388.171
16.346,1008.67,390.193
16.486,1005.803,392.229
16.63,1002.715,394.28
16.779,999.388,396.348
16.932,995.804,398.435
17.091,991.939,400.544
17.257,987.768,402.676
17.429,983.259,404.835
17.61,978.379,407.024
17.799,973.083,409.245
17.998,967.322,411.502
18.209,961.035,413.8
18.434,954.148,416.142
18.674,946.57,418.534
18.932,938.187,420.981
19.212,928.855,423.49
19.519,918.388,426.067
19.858,906.541,428.721
20.237,892.98,431.46
20.668,877.246,434.295
21.167,858.673,437.233
21.667,839.741,439.842
22.167,820.564,442.148
22.667,801.198,444.182
23.167,781.689,445.974
23.667,762.071,447.551
24.167,742.374,448.938
24.667,722.619,450.156
25.167,702.824,451.227
25.667,683.002,452.166
26.167,663.163,452.99
26.667,643.315,453.713
27.167,623.466,454.347
27.667,603.619,454.902
28.167,583.778,455.389
28.667,563.946,455.816
29.167,544.126,456.19
29.667,524.319,456.517
30.167,504.526,456.803
30.667,484.748,457.054
31.167,464.987,457.274
31.667,445.242,457.466
32.167,425.515,457.635
32.667,405.805,457.782
33.167,386.114,457.911
33.667,366.441,458.023
34.167,346.787,458.122
34.667,327.151,458.208
35.167,307.534,458.283
35.667,287.936,458.349
36.167,268.356,458.407
36.667,248.795,458.457
37.167,229.253,458.501
37.667,209.729,458.54
38.167,190.223,458.573
38.667,170.736,458.603
39.167,151.267,458.628
39.667,131.817,458.651
40.167,112.385,458.67
40.667,92.97,458.687
41.167,73.574,458.702
41.667,54.196,458.715
42.167,34.836,458.726
42.667,15.493,458.736
# Event GROUND_HIT occurred at t=43.068 seconds
# Event SIMULATION_END occurred at t=43.068 seconds
43.068,0,458.743
