# Séparation, actif, 45 (Up to date)
# 457 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
10.6,469.251,1043.912
10.65,468.881,1047.506
10.7,468.489,1051.087
10.75,468.073,1054.654
10.8,467.635,1058.209
10.85,467.174,1061.751
10.9,466.69,1065.28
10.95,466.183,1068.796
11,465.654,1072.3
11.05,465.103,1075.791
11.1,464.529,1079.27
11.15,463.933,1082.736
11.2,463.314,1086.19
11.25,462.673,1089.631
11.3,462.01,1093.06
11.35,461.326,1096.478
11.4,460.619,1099.883
11.45,459.89,1103.276
11.5,459.14,1106.657
11.55,458.367,1110.026
11.6,457.573,1113.383
11.65,456.758,1116.729
11.7,455.921,1120.063
11.75,455.062,1123.386
11.8,454.182,1126.696
11.85,453.281,1129.996
11.9,452.358,1133.284
11.95,451.415,1136.56
12,450.45,1139.825
12.05,449.464,1143.079
12.1,448.457,1146.322
12.15,447.429,1149.554
12.2,446.381,1152.774
12.25,445.311,1155.983
12.3,444.221,1159.182
12.35,443.11,1162.369
12.4,441.979,1165.545
12.45,440.827,1168.711
12.5,439.654,1171.866
12.55,438.462,1175.01
12.6,437.249,1178.143
12.65,436.015,1181.265
12.7,434.762,1184.377
12.75,433.488,1187.478
12.8,432.194,1190.569
12.85,430.88,1193.649
12.9,429.546,1196.719
12.95,428.193,1199.778
13,426.819,1202.827
13.05,425.426,1205.865
13.1,424.013,1208.893
13.15,422.58,1211.911
13.2,421.128,1214.919
13.25,419.657,1217.916
13.3,418.166,1220.903
13.35,416.655,1223.88
13.4,415.126,1226.847
13.45,413.577,1229.803
13.5,412.009,1232.75
13.55,410.421,1235.687
13.6,408.815,1238.613
13.65,407.19,1241.53
13.7,405.546,1244.437
13.75,403.883,1247.333
13.8,402.202,1250.22
13.85,400.501,1253.097
13.9,398.783,1255.965
13.95,397.045,1258.822
14,395.289,1261.67
14.05,393.515,1264.508
14.1,391.722,1267.336
14.15,389.911,1270.155
14.2,388.082,1272.964
14.25,386.234,1275.763
14.3,384.369,1278.553
14.35,382.485,1281.333
14.4,380.584,1284.104
14.45,378.664,1286.865
14.5,376.727,1289.617
14.55,374.772,1292.359
14.6,372.8,1295.092
14.65,370.81,1297.815
14.7,368.802,1300.529
14.75,366.777,1303.234
14.8,364.734,1305.929
14.85,362.674,1308.615
14.9,360.597,1311.292
14.95,358.502,1313.959
15,356.391,1316.617
15.05,354.262,1319.265
15.1,352.116,1321.905
15.15,349.954,1324.535
15.2,347.774,1327.156
15.25,345.578,1329.768
15.3,343.365,1332.371
15.35,341.135,1334.964
15.4,338.889,1337.549
15.45,336.626,1340.124
15.5,334.346,1342.691
15.55,332.051,1345.248
15.6,329.739,1347.796
15.65,327.41,1350.335
15.7,325.066,1352.865
15.75,322.705,1355.386
15.8,320.329,1357.899
15.85,317.936,1360.402
15.9,315.528,1362.896
15.95,313.104,1365.382
16,310.663,1367.858
16.05,308.208,1370.326
16.1,305.736,1372.784
16.15,303.249,1375.234
16.2,300.747,1377.675
16.25,298.229,1380.108
16.3,295.696,1382.531
16.35,293.148,1384.946
16.4,290.584,1387.352
16.45,288.006,1389.749
16.5,285.412,1392.137
16.55,282.803,1394.517
16.6,280.18,1396.888
16.65,277.541,1399.251
16.7,274.888,1401.604
16.75,272.22,1403.949
16.8,269.537,1406.286
16.85,266.84,1408.614
16.9,264.129,1410.933
16.95,261.403,1413.243
17,258.663,1415.546
17.05,255.908,1417.839
17.1,253.139,1420.124
17.15,250.356,1422.401
17.2,247.559,1424.669
17.25,244.749,1426.928
17.3,241.924,1429.179
17.35,239.085,1431.422
17.4,236.233,1433.656
17.45,233.367,1435.882
17.5,230.487,1438.099
17.55,227.594,1440.308
17.6,224.687,1442.508
17.65,221.767,1444.701
17.7,218.833,1446.885
17.75,215.887,1449.06
17.8,212.927,1451.227
17.85,209.954,1453.386
17.9,206.968,1455.537
17.95,203.969,1457.68
18,200.957,1459.814
18.05,197.932,1461.94
18.1,194.895,1464.058
18.15,191.844,1466.167
18.2,188.782,1468.269
18.25,185.706,1470.362
18.3,182.618,1472.447
18.35,179.518,1474.524
18.4,176.406,1476.593
18.45,173.281,1478.654
18.5,170.144,1480.706
18.55,166.995,1482.751
18.6,163.833,1484.787
18.65,160.66,1486.816
18.7,157.475,1488.837
18.75,154.278,1490.849
18.8,151.07,1492.854
18.85,147.849,1494.85
18.9,144.617,1496.839
18.95,141.374,1498.82
19,138.119,1500.793
19.05,134.852,1502.758
19.1,131.574,1504.715
19.15,128.285,1506.664
19.2,124.985,1508.605
19.25,121.674,1510.539
19.3,118.351,1512.465
19.35,115.018,1514.383
19.4,111.673,1516.293
19.45,108.318,1518.195
19.5,104.952,1520.09
19.55,101.575,1521.977
19.6,98.187,1523.856
19.65,94.789,1525.728
19.7,91.381,1527.592
19.75,87.962,1529.448
19.8,84.532,1531.297
19.85,81.093,1533.138
19.9,77.643,1534.972
19.95,74.183,1536.797
20,70.712,1538.616
20.05,67.232,1540.427
20.1,63.742,1542.23
20.15,60.241,1544.026
20.2,56.731,1545.814
20.25,53.212,1547.595
20.3,49.682,1549.368
20.35,46.143,1551.134
20.4,42.594,1552.893
20.45,39.036,1554.644
20.5,35.468,1556.388
20.55,31.891,1558.124
20.6,28.304,1559.853
20.65,24.709,1561.575
20.7,21.104,1563.289
20.75,17.49,1564.997
20.8,13.866,1566.697
20.85,10.234,1568.389
20.9,6.593,1570.075
20.95,2.943,1571.753
# Event GROUND_HIT occurred at t=21 seconds
# Event SIMULATION_END occurred at t=21 seconds
21,-0.715,1573.424
