# Séparation, actif, 80 (Up to date)
# 629 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (32,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
9.831,1488.948,413.825
9.881,1496.194,416.348
9.931,1503.385,418.86
9.981,1510.521,421.362
10.031,1517.604,423.853
10.081,1524.633,426.334
10.131,1531.609,428.805
10.181,1538.533,431.266
10.231,1545.405,433.717
10.281,1552.225,436.159
10.331,1558.994,438.59
10.381,1565.712,441.013
10.431,1572.38,443.426
10.481,1578.998,445.83
10.531,1585.566,448.224
10.581,1592.086,450.61
10.631,1598.556,452.987
10.681,1604.978,455.355
10.731,1611.353,457.714
10.781,1617.679,460.065
10.831,1623.959,462.407
10.881,1630.191,464.741
10.931,1636.377,467.066
10.981,1642.517,469.384
11.031,1648.61,471.693
11.081,1654.659,473.994
11.131,1660.662,476.287
11.181,1666.62,478.573
11.231,1672.533,480.85
11.281,1678.403,483.121
11.331,1684.228,485.383
11.381,1690.01,487.638
11.431,1695.748,489.886
11.481,1701.443,492.126
11.531,1707.096,494.359
11.581,1712.706,496.585
11.631,1718.274,498.804
11.681,1723.8,501.016
11.731,1729.284,503.221
11.781,1734.727,505.419
11.831,1740.128,507.61
11.881,1745.489,509.795
11.931,1750.809,511.973
11.981,1756.089,514.145
12.031,1761.329,516.31
12.081,1766.528,518.468
12.131,1771.688,520.621
12.181,1776.809,522.767
12.231,1781.89,524.907
12.281,1786.933,527.04
12.331,1791.937,529.168
12.381,1796.902,531.289
12.431,1801.829,533.405
12.481,1806.718,535.515
12.531,1811.569,537.619
12.581,1816.382,539.717
12.631,1821.158,541.81
12.681,1825.896,543.897
12.731,1830.598,545.978
12.781,1835.262,548.054
12.831,1839.89,550.124
12.881,1844.482,552.189
12.931,1849.037,554.249
12.981,1853.556,556.303
13.031,1858.039,558.352
13.081,1862.487,560.396
13.131,1866.899,562.435
13.181,1871.275,564.468
13.231,1875.616,566.497
13.281,1879.922,568.52
13.331,1884.194,570.539
13.381,1888.43,572.553
13.431,1892.632,574.562
13.481,1896.8,576.566
13.531,1900.934,578.566
13.581,1905.033,580.56
13.631,1909.098,582.551
13.681,1913.13,584.536
13.731,1917.128,586.517
13.781,1921.093,588.494
13.831,1925.024,590.466
13.881,1928.922,592.433
13.931,1932.787,594.397
13.981,1936.619,596.355
14.031,1940.419,598.31
14.081,1944.186,600.261
14.131,1947.92,602.207
14.181,1951.622,604.149
14.231,1955.291,606.087
14.281,1958.929,608.021
14.331,1962.535,609.95
14.381,1966.109,611.876
14.431,1969.651,613.798
14.481,1973.161,615.716
14.531,1976.64,617.63
14.581,1980.088,619.54
14.631,1983.504,621.447
14.681,1986.89,623.35
14.731,1990.244,625.249
14.781,1993.567,627.144
14.831,1996.86,629.035
14.881,2000.122,630.923
14.931,2003.353,632.808
14.981,2006.554,634.688
15.031,2009.725,636.566
15.081,2012.865,638.44
15.131,2015.975,640.31
15.181,2019.055,642.177
15.231,2022.105,644.04
15.281,2025.126,645.901
15.331,2028.116,647.757
15.381,2031.077,649.611
15.431,2034.008,651.461
15.481,2036.91,653.308
15.531,2039.783,655.152
15.581,2042.626,656.993
15.631,2045.44,658.831
15.681,2048.225,660.665
15.731,2050.981,662.497
15.781,2053.708,664.325
15.831,2056.406,666.15
15.881,2059.075,667.973
15.931,2061.716,669.792
15.981,2064.328,671.608
16.031,2066.911,673.422
16.081,2069.466,675.233
16.131,2071.993,677.04
16.181,2074.492,678.845
16.231,2076.962,680.648
16.281,2079.404,682.447
16.331,2081.818,684.244
16.381,2084.204,686.037
16.431,2086.562,687.829
16.481,2088.892,689.617
16.531,2091.195,691.403
16.581,2093.47,693.186
16.631,2095.717,694.967
16.681,2097.936,696.745
16.731,2100.129,698.521
16.781,2102.293,700.294
16.831,2104.43,702.064
16.881,2106.54,703.832
16.931,2108.623,705.598
16.981,2110.679,707.361
17.031,2112.707,709.122
17.081,2114.709,710.88
17.131,2116.683,712.636
17.181,2118.63,714.389
17.231,2120.551,716.141
17.281,2122.445,717.89
17.331,2124.312,719.636
17.381,2126.152,721.381
17.431,2127.966,723.123
17.481,2129.753,724.863
17.531,2131.513,726.6
17.581,2133.247,728.336
17.631,2134.955,730.069
17.681,2136.636,731.8
17.731,2138.29,733.529
17.781,2139.919,735.256
17.831,2141.521,736.981
17.881,2143.097,738.704
17.931,2144.647,740.425
17.981,2146.171,742.143
18.031,2147.669,743.86
18.081,2149.141,745.574
