# Séparation, actif, 45 (Up to date)
# 496 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
10.508,569.126,1209.75
10.558,569.47,1214.79
10.608,569.789,1219.815
10.658,570.082,1224.826
10.708,570.351,1229.822
10.758,570.594,1234.804
10.808,570.812,1239.771
10.858,571.005,1244.725
10.908,571.173,1249.663
10.958,571.316,1254.588
11.008,571.434,1259.499
11.058,571.527,1264.396
11.108,571.596,1269.279
11.158,571.641,1274.148
11.208,571.66,1279.003
# Event APOGEE occurred at t=11.258 seconds
11.258,571.656,1283.845
11.308,571.626,1288.673
11.358,571.573,1293.488
11.408,571.495,1298.29
11.458,571.393,1303.078
11.508,571.267,1307.852
11.558,571.117,1312.614
11.608,570.943,1317.363
11.658,570.745,1322.098
11.708,570.523,1326.821
11.758,570.277,1331.53
11.808,570.008,1336.227
11.858,569.715,1340.911
11.908,569.398,1345.583
11.958,569.058,1350.241
12.008,568.694,1354.887
12.058,568.307,1359.521
12.108,567.896,1364.142
12.158,567.462,1368.751
12.208,567.005,1373.348
12.258,566.525,1377.932
12.308,566.021,1382.504
12.358,565.495,1387.064
12.408,564.945,1391.612
12.458,564.373,1396.148
12.508,563.777,1400.672
12.558,563.159,1405.184
12.608,562.518,1409.684
12.658,561.854,1414.172
12.708,561.168,1418.649
12.758,560.459,1423.114
12.808,559.727,1427.567
12.858,558.973,1432.009
12.908,558.196,1436.439
12.958,557.397,1440.857
13.008,556.576,1445.264
13.058,555.732,1449.66
13.108,554.866,1454.044
13.158,553.978,1458.418
13.208,553.068,1462.779
13.258,552.136,1467.13
13.308,551.182,1471.469
13.358,550.206,1475.798
13.408,549.208,1480.115
13.458,548.188,1484.421
13.508,547.146,1488.716
13.558,546.082,1493
13.608,544.997,1497.274
13.658,543.89,1501.536
13.708,542.762,1505.788
13.758,541.612,1510.028
13.808,540.44,1514.258
13.858,539.247,1518.478
13.908,538.033,1522.686
13.958,536.797,1526.884
14.008,535.54,1531.071
14.058,534.262,1535.248
14.108,532.963,1539.414
14.158,531.642,1543.57
14.208,530.3,1547.715
14.258,528.938,1551.85
14.308,527.554,1555.974
14.358,526.149,1560.088
14.408,524.724,1564.192
14.458,523.277,1568.285
14.508,521.81,1572.368
14.558,520.322,1576.441
14.608,518.813,1580.504
14.658,517.284,1584.556
14.708,515.734,1588.598
14.758,514.163,1592.63
14.808,512.572,1596.652
14.858,510.961,1600.664
14.908,509.329,1604.666
14.958,507.677,1608.658
15.008,506.005,1612.64
15.058,504.312,1616.612
15.108,502.599,1620.574
15.158,500.866,1624.526
15.208,499.113,1628.468
15.258,497.339,1632.4
15.308,495.546,1636.322
15.358,493.733,1640.235
15.408,491.9,1644.138
15.458,490.047,1648.031
15.508,488.174,1651.914
15.558,486.281,1655.788
15.608,484.369,1659.651
15.658,482.437,1663.506
15.708,480.486,1667.35
15.758,478.515,1671.185
15.808,476.524,1675.01
15.858,474.514,1678.826
15.908,472.484,1682.632
15.958,470.436,1686.429
16.008,468.367,1690.216
16.058,466.28,1693.993
16.108,464.174,1697.761
16.158,462.048,1701.52
16.208,459.903,1705.269
16.258,457.739,1709.008
16.308,455.556,1712.738
16.358,453.354,1716.459
16.408,451.134,1720.171
16.458,448.894,1723.873
16.508,446.636,1727.566
16.558,444.359,1731.249
16.608,442.063,1734.923
16.658,439.748,1738.588
16.708,437.415,1742.243
16.758,435.064,1745.89
16.808,432.694,1749.527
16.858,430.305,1753.154
16.908,427.898,1756.773
16.958,425.473,1760.382
17.008,423.03,1763.983
17.058,420.568,1767.574
17.108,418.088,1771.155
17.158,415.59,1774.728
17.208,413.074,1778.292
17.258,410.54,1781.846
17.308,407.988,1785.392
17.358,405.418,1788.928
17.408,402.83,1792.456
17.458,400.224,1795.974
17.508,397.601,1799.483
17.558,394.959,1802.983
17.608,392.301,1806.474
17.658,389.624,1809.957
17.708,386.93,1813.43
17.758,384.219,1816.894
17.808,381.49,1820.349
17.858,378.744,1823.796
17.908,375.98,1827.233
17.958,373.199,1830.662
18.008,370.401,1834.081
18.058,367.586,1837.492
18.108,364.753,1840.894
18.158,361.904,1844.287
18.208,359.038,1847.671
18.258,356.154,1851.046
18.308,353.254,1854.412
18.358,350.337,1857.77
18.408,347.403,1861.119
18.458,344.452,1864.459
18.508,341.484,1867.79
18.558,338.5,1871.112
18.608,335.5,1874.426
18.658,332.483,1877.731
18.708,329.449,1881.027
18.758,326.399,1884.315
18.808,323.333,1887.593
18.858,320.25,1890.863
18.908,317.151,1894.125
18.958,314.036,1897.377
19.008,310.904,1900.621
19.058,307.757,1903.856
19.108,304.594,1907.083
19.158,301.414,1910.301
19.208,298.219,1913.51
19.258,295.008,1916.711
19.308,291.781,1919.903
19.358,288.538,1923.087
19.408,285.28,1926.262
19.458,282.006,1929.428
19.508,278.716,1932.586
19.558,275.411,1935.735
19.608,272.09,1938.876
19.658,268.754,1942.008
19.708,265.403,1945.132
19.758,262.036,1948.247
19.808,258.654,1951.353
19.858,255.257,1954.451
19.908,251.844,1957.541
19.958,248.417,1960.622
20.008,244.975,1963.695
20.058,241.517,1966.759
20.108,238.045,1969.814
20.158,234.558,1972.862
20.208,231.056,1975.901
20.258,227.539,1978.931
20.308,224.008,1981.953
20.358,220.461,1984.967
20.408,216.901,1987.972
20.458,213.326,1990.969
20.508,209.736,1993.957
20.558,206.132,1996.937
20.608,202.514,1999.909
20.658,198.881,2002.872
20.708,195.234,2005.827
20.758,191.573,2008.774
20.808,187.898,2011.712
20.858,184.209,2014.643
20.908,180.506,2017.564
20.958,176.788,2020.478
21.008,173.057,2023.383
21.058,169.312,2026.28
21.108,165.554,2029.169
21.158,161.781,2032.05
21.208,157.995,2034.922
21.258,154.196,2037.786
21.308,150.382,2040.642
21.358,146.556,2043.489
21.408,142.715,2046.329
21.458,138.862,2049.16
21.508,134.995,2051.983
21.558,131.115,2054.798
21.608,127.221,2057.605
21.658,123.315,2060.404
21.708,119.395,2063.194
21.758,115.463,2065.976
21.808,111.517,2068.751
21.858,107.558,2071.517
21.908,103.587,2074.275
21.958,99.603,2077.025
22.008,95.606,2079.767
22.058,91.596,2082.501
22.108,87.574,2085.226
22.158,83.539,2087.944
22.208,79.491,2090.654
22.258,75.432,2093.356
22.308,71.359,2096.049
22.358,67.274,2098.735
22.408,63.177,2101.413
22.458,59.068,2104.083
22.508,54.947,2106.744
22.558,50.813,2109.398
22.608,46.668,2112.044
22.658,42.51,2114.682
22.708,38.34,2117.312
22.758,34.159,2119.934
22.808,29.965,2122.548
22.858,25.76,2125.155
22.908,21.543,2127.753
22.958,17.315,2130.344
23.008,13.075,2132.926
23.058,8.823,2135.501
23.108,4.56,2138.068
23.158,0.285,2140.627
# Event GROUND_HIT occurred at t=23.208 seconds
# Event SIMULATION_END occurred at t=23.208 seconds
23.208,-4.001,2143.179
