# Séparation, actif, 80 (Up to date)
# 407 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (25,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
10.55,1008.323,282.85
10.6,1010.122,283.935
10.65,1011.893,285.017
10.7,1013.636,286.098
10.75,1015.351,287.176
10.8,1017.039,288.252
10.85,1018.698,289.325
10.9,1020.331,290.397
10.95,1021.935,291.466
11,1023.513,292.534
11.05,1025.063,293.599
11.1,1026.585,294.662
11.15,1028.081,295.724
11.2,1029.55,296.783
11.25,1030.992,297.84
11.3,1032.407,298.896
11.35,1033.795,299.949
11.4,1035.156,301.001
11.45,1036.491,302.051
11.5,1037.799,303.099
11.55,1039.081,304.145
11.6,1040.336,305.189
11.65,1041.565,306.232
11.7,1042.768,307.272
11.75,1043.945,308.311
11.8,1045.095,309.349
11.85,1046.22,310.385
11.9,1047.318,311.419
11.95,1048.391,312.451
12,1049.438,313.482
12.05,1050.459,314.511
12.1,1051.454,315.538
12.15,1052.423,316.564
12.2,1053.367,317.589
12.25,1054.286,318.611
12.3,1055.179,319.633
12.35,1056.046,320.652
12.4,1056.889,321.671
12.45,1057.706,322.687
12.5,1058.497,323.703
12.55,1059.264,324.717
12.6,1060.005,325.729
12.65,1060.722,326.74
12.7,1061.413,327.749
12.75,1062.079,328.758
12.8,1062.72,329.764
12.85,1063.337,330.77
12.9,1063.929,331.774
12.95,1064.496,332.776
13,1065.038,333.778
13.05,1065.555,334.778
13.1,1066.048,335.776
13.15,1066.517,336.774
13.2,1066.96,337.77
13.25,1067.38,338.765
13.3,1067.775,339.758
13.35,1068.145,340.751
13.4,1068.491,341.742
13.45,1068.813,342.732
13.5,1069.111,343.72
13.55,1069.385,344.708
13.6,1069.634,345.694
13.65,1069.859,346.679
13.7,1070.06,347.663
13.75,1070.237,348.646
13.8,1070.39,349.628
13.85,1070.519,350.609
13.9,1070.625,351.588
13.95,1070.706,352.567
14,1070.764,353.545
14.05,1070.797,354.521
# Event APOGEE occurred at t=14.1 seconds
14.1,1070.807,355.497
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=14.101 seconds
14.15,1070.793,356.471
14.25,1070.693,358.408
14.351,1070.493,360.346
14.454,1070.191,362.284
14.558,1069.784,364.222
14.663,1069.27,366.16
14.769,1068.645,368.098
14.876,1067.909,370.036
14.985,1067.056,371.974
15.096,1066.085,373.913
15.208,1064.991,375.853
15.322,1063.77,377.795
15.437,1062.418,379.739
15.554,1060.93,381.687
15.674,1059.301,383.639
15.796,1057.524,385.596
15.92,1055.591,387.56
16.046,1053.496,389.531
16.176,1051.229,391.512
16.308,1048.78,393.502
16.444,1046.137,395.505
16.584,1043.288,397.521
16.728,1040.217,399.553
16.877,1036.907,401.602
17.031,1033.338,403.67
17.19,1029.488,405.759
17.356,1025.33,407.873
17.529,1020.833,410.013
17.71,1015.962,412.183
17.899,1010.672,414.386
18.1,1004.912,416.625
18.312,998.621,418.905
18.537,991.722,421.229
18.779,984.121,423.604
19.04,975.702,426.035
19.323,966.314,428.529
19.633,955.764,431.092
19.977,943.795,433.732
20.363,930.057,436.46
20.803,914.063,439.284
21.303,895.523,442.154
21.803,876.678,444.691
22.303,857.598,446.931
22.803,838.336,448.905
23.303,818.938,450.643
23.803,799.437,452.17
24.303,779.86,453.512
24.803,760.229,454.689
25.303,740.561,455.722
25.803,720.868,456.628
26.303,701.16,457.422
26.803,681.444,458.118
27.303,661.728,458.727
27.803,642.015,459.261
28.303,622.309,459.728
28.803,602.613,460.137
29.303,582.929,460.495
29.803,563.258,460.808
30.303,543.601,461.082
30.803,523.959,461.321
31.303,504.334,461.531
31.803,484.725,461.714
32.303,465.133,461.874
32.803,445.559,462.014
33.303,426.002,462.137
33.803,406.464,462.244
34.303,386.943,462.337
34.803,367.441,462.419
35.303,347.958,462.49
35.803,328.493,462.552
36.303,309.047,462.607
36.803,289.619,462.654
37.303,270.209,462.696
37.803,250.818,462.732
38.303,231.445,462.764
38.803,212.091,462.791
39.303,192.754,462.815
39.803,173.436,462.836
40.303,154.136,462.854
40.803,134.854,462.87
41.303,115.589,462.884
41.803,96.343,462.896
42.303,77.114,462.907
42.803,57.903,462.916
43.303,38.709,462.924
43.803,19.533,462.931
44.303,0.374,462.937
# Event GROUND_HIT occurred at t=44.312 seconds
# Event SIMULATION_END occurred at t=44.312 seconds
44.312,0,462.938
