# Séparation, actif, 80 (Up to date)
# 482 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (25,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
10.058,1127.718,310.055
10.108,1131.148,311.545
10.158,1134.546,313.031
10.208,1137.913,314.514
10.258,1141.248,315.995
10.308,1144.553,317.472
10.358,1147.827,318.947
10.408,1151.07,320.418
10.458,1154.282,321.887
10.508,1157.464,323.353
10.558,1160.615,324.816
10.608,1163.736,326.276
10.658,1166.827,327.734
10.708,1169.888,329.189
10.758,1172.918,330.641
10.808,1175.919,332.091
10.858,1178.89,333.538
10.908,1181.831,334.982
10.958,1184.743,336.424
11.008,1187.625,337.864
11.058,1190.478,339.3
11.108,1193.301,340.735
11.158,1196.095,342.167
11.208,1198.86,343.596
11.258,1201.596,345.023
11.308,1204.303,346.448
11.358,1206.981,347.87
11.408,1209.631,349.29
11.458,1212.251,350.707
11.508,1214.843,352.123
11.558,1217.407,353.536
11.608,1219.942,354.946
11.658,1222.449,356.355
11.708,1224.927,357.761
11.758,1227.378,359.165
11.808,1229.8,360.567
11.858,1232.194,361.967
11.908,1234.56,363.365
11.958,1236.898,364.761
12.008,1239.209,366.154
12.058,1241.492,367.546
12.108,1243.747,368.935
12.158,1245.974,370.323
12.208,1248.174,371.708
12.258,1250.347,373.092
12.308,1252.492,374.474
12.358,1254.609,375.853
12.408,1256.7,377.231
12.458,1258.763,378.607
12.508,1260.799,379.981
12.558,1262.808,381.353
12.608,1264.791,382.724
12.658,1266.746,384.092
12.708,1268.674,385.459
12.758,1270.575,386.824
12.808,1272.45,388.187
12.858,1274.298,389.549
12.908,1276.119,390.909
12.958,1277.914,392.267
13.008,1279.682,393.623
13.058,1281.424,394.978
13.108,1283.139,396.331
13.158,1284.828,397.682
13.208,1286.491,399.032
13.258,1288.127,400.38
13.308,1289.738,401.727
13.358,1291.321,403.072
13.408,1292.879,404.415
13.458,1294.411,405.757
13.508,1295.917,407.097
13.558,1297.397,408.436
13.608,1298.85,409.774
13.658,1300.278,411.109
13.708,1301.681,412.444
13.758,1303.057,413.777
13.808,1304.407,415.108
13.858,1305.732,416.438
13.908,1307.032,417.767
13.958,1308.305,419.094
14.008,1309.553,420.42
14.058,1310.776,421.744
14.108,1311.973,423.067
14.158,1313.144,424.389
14.208,1314.291,425.709
14.258,1315.411,427.028
14.308,1316.507,428.346
14.358,1317.577,429.662
14.408,1318.622,430.977
14.458,1319.642,432.291
14.508,1320.636,433.603
14.558,1321.606,434.914
14.608,1322.55,436.224
14.658,1323.469,437.533
14.708,1324.363,438.84
14.758,1325.233,440.146
14.808,1326.077,441.451
14.858,1326.896,442.755
14.908,1327.69,444.058
14.958,1328.46,445.359
15.008,1329.205,446.659
15.058,1329.925,447.958
15.108,1330.62,449.256
15.158,1331.29,450.553
15.208,1331.936,451.849
15.258,1332.557,453.143
15.308,1333.153,454.436
15.358,1333.725,455.729
15.408,1334.272,457.02
15.458,1334.795,458.31
15.508,1335.293,459.599
15.558,1335.767,460.887
15.608,1336.216,462.173
15.658,1336.641,463.459
15.708,1337.041,464.744
15.758,1337.417,466.028
15.808,1337.769,467.31
15.858,1338.096,468.592
15.908,1338.399,469.873
15.958,1338.678,471.152
16.008,1338.933,472.431
16.058,1339.163,473.709
16.108,1339.369,474.986
16.158,1339.551,476.262
16.208,1339.708,477.536
16.258,1339.842,478.81
16.308,1339.951,480.084
16.358,1340.037,481.356
16.408,1340.098,482.627
16.458,1340.135,483.898
# Event APOGEE occurred at t=16.508 seconds
16.508,1340.148,485.167
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=16.509 seconds
# Event SIM_WARN occurred at t=16.558 seconds: Deploiement du systeme de recuperation à grande vitesse (25,4 m/s):  "Parachute"
16.558,1340.137,486.436
16.646,1340.058,488.669
16.738,1339.898,490.912
16.831,1339.653,493.163
16.927,1339.319,495.421
17.024,1338.892,497.684
17.124,1338.367,499.951
17.227,1337.74,502.221
17.331,1337.006,504.493
17.438,1336.162,506.765
17.548,1335.202,509.038
17.659,1334.121,511.31
17.774,1332.913,513.582
17.891,1331.573,515.854
18.011,1330.095,518.124
18.134,1328.471,520.395
18.26,1326.693,522.666
18.389,1324.752,524.938
18.522,1322.639,527.213
18.659,1320.341,529.49
18.801,1317.845,531.772
18.948,1315.137,534.059
19.099,1312.199,536.354
19.257,1309.01,538.658
19.421,1305.546,540.974
19.593,1301.779,543.302
19.774,1297.677,545.647
19.964,1293.199,548.009
20.164,1288.298,550.393
20.378,1282.914,552.8
20.607,1276.976,555.235
20.853,1270.393,557.7
21.119,1263.051,560.198
21.411,1254.802,562.735
21.734,1245.45,565.312
22.096,1234.729,567.933
22.508,1222.268,570.601
22.985,1207.526,573.314
23.485,1191.824,575.766
23.985,1175.921,577.866
24.485,1159.872,579.663
24.985,1143.716,581.198
25.485,1127.485,582.507
25.985,1111.202,583.624
26.485,1094.883,584.575
26.985,1078.541,585.385
27.485,1062.186,586.074
27.985,1045.825,586.66
28.485,1029.462,587.159
28.985,1013.102,587.583
29.485,996.748,587.943
29.985,980.4,588.25
30.485,964.062,588.51
30.985,947.734,588.731
31.485,931.416,588.919
31.985,915.111,589.078
32.485,898.817,589.214
32.985,882.536,589.329
33.485,866.268,589.427
33.985,850.012,589.509
34.485,833.769,589.58
34.985,817.539,589.639
35.485,801.322,589.69
35.985,785.118,589.733
36.485,768.927,589.769
36.985,752.748,589.8
37.485,736.583,589.827
37.985,720.43,589.849
38.485,704.29,589.868
38.985,688.163,589.883
39.485,672.049,589.897
39.985,655.947,589.908
40.485,639.858,589.918
40.985,623.781,589.926
41.485,607.717,589.933
41.985,591.665,589.939
42.485,575.625,589.944
42.985,559.598,589.948
43.485,543.584,589.952
43.985,527.581,589.955
44.485,511.591,589.957
44.985,495.613,589.96
45.485,479.647,589.961
45.985,463.693,589.963
46.485,447.752,589.964
46.985,431.823,589.965
47.485,415.906,589.966
47.985,400.003,589.967
48.485,384.111,589.968
48.985,368.232,589.968
49.485,352.366,589.969
49.985,336.512,589.969
50.485,320.67,589.969
50.985,304.84,589.97
51.485,289.023,589.97
51.985,273.218,589.97
52.485,257.426,589.97
52.985,241.645,589.97
53.485,225.877,589.971
53.985,210.12,589.971
54.485,194.376,589.971
54.985,178.643,589.971
55.485,162.923,589.971
55.985,147.214,589.971
56.485,131.517,589.971
56.985,115.832,589.971
57.485,100.159,589.971
57.985,84.497,589.971
58.485,68.847,589.971
58.985,53.209,589.971
59.485,37.582,589.971
59.985,21.967,589.971
60.485,6.363,589.971
# Event GROUND_HIT occurred at t=60.689 seconds
# Event SIMULATION_END occurred at t=60.689 seconds
60.689,0,589.971
