# LaOnRigoleLongtemps (Up to date)
# 917 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
6.784,621.433,1117.453
6.798,623.764,1122.594
6.804,624.766,1124.804
6.811,625.837,1127.166
6.82,627.415,1130.649
6.834,629.781,1135.877
6.842,631.006,1138.585
6.849,632.224,1141.279
6.86,634.051,1145.323
6.877,636.79,1151.393
6.885,638.173,1154.458
6.896,639.958,1158.414
6.912,642.633,1164.351
6.922,644.347,1168.158
6.934,646.298,1172.497
6.951,649.225,1179.009
6.963,651.218,1183.446
6.981,654.177,1190.039
7.004,657.904,1198.356
7.035,663.005,1209.756
7.081,670.648,1226.876
7.093,672.693,1231.465
7.112,675.759,1238.35
7.124,677.804,1242.947
7.143,680.87,1249.845
7.161,683.827,1256.506
7.187,688.123,1266.195
7.219,693.406,1278.131
7.267,701.315,1296.045
7.276,702.827,1299.474
7.29,705.093,1304.618
7.302,707.015,1308.984
7.311,708.622,1312.637
7.326,711.03,1318.116
7.341,713.503,1323.749
7.354,715.582,1328.486
7.373,718.696,1335.59
7.387,720.998,1340.846
7.408,724.446,1348.728
7.429,727.795,1356.394
7.46,732.804,1367.877
7.506,740.275,1385.043
7.556,748.259,1403.435
7.559,748.655,1404.352
7.561,749.051,1405.268
7.565,749.575,1406.48
7.57,750.36,1408.298
7.572,750.801,1409.318
7.575,751.196,1410.232
7.577,751.59,1411.145
7.58,751.985,1412.058
7.582,752.38,1412.971
7.585,752.774,1413.883
7.587,753.169,1414.795
7.59,753.563,1415.706
7.592,753.957,1416.617
7.595,754.351,1417.528
7.597,754.745,1418.438
7.601,755.232,1419.564
7.605,755.963,1421.252
7.611,756.816,1423.225
7.613,757.209,1424.133
7.616,757.601,1425.04
7.618,757.992,1425.946
7.621,758.383,1426.853
7.623,758.774,1427.758
7.626,759.165,1428.664
7.628,759.555,1429.569
7.631,759.945,1430.474
7.633,760.334,1431.378
7.636,760.759,1432.366
7.64,761.386,1433.822
7.646,762.324,1436.003
7.649,762.836,1437.193
7.652,763.224,1438.094
7.654,763.611,1438.994
7.657,763.998,1439.894
7.659,764.385,1440.793
7.662,764.772,1441.692
7.664,765.159,1442.59
7.667,765.545,1443.487
7.669,765.932,1444.384
7.672,766.344,1445.342
7.676,766.921,1446.682
7.681,767.785,1448.689
7.688,768.791,1451.028
7.69,769.19,1451.955
7.693,769.574,1452.848
7.695,769.957,1453.739
7.698,770.339,1454.631
7.7,770.722,1455.522
7.703,771.104,1456.412
7.705,771.486,1457.302
7.708,771.893,1458.253
7.711,772.414,1459.466
7.717,773.193,1461.285
7.724,774.359,1464.008
7.728,774.898,1465.267
7.731,775.315,1466.239
7.733,775.693,1467.123
7.736,776.072,1468.006
7.738,776.45,1468.889
7.741,776.827,1469.771
7.743,777.225,1470.7
7.746,777.684,1471.771
7.75,778.281,1473.165
7.756,779.176,1475.254
7.765,780.514,1478.38
7.769,781.038,1479.604
7.772,781.482,1480.645
7.774,781.9,1481.621
7.777,782.313,1482.589
7.78,782.746,1483.603
7.783,783.226,1484.727
7.787,783.814,1486.105
7.793,784.694,1488.169
7.802,786.011,1491.258
7.807,786.726,1492.936
7.81,787.255,1494.177
7.814,787.74,1495.315
7.817,788.222,1496.447
7.82,788.737,1497.656
7.825,789.34,1499.07
7.83,790.186,1501.057
7.839,791.453,1504.032
7.846,792.531,1506.564
7.851,793.144,1508.007
7.854,793.705,1509.325
7.858,794.275,1510.668
7.863,794.918,1512.181
7.869,795.778,1514.208
7.878,797.065,1517.241
7.888,798.536,1520.711
7.893,799.212,1522.306
7.897,799.86,1523.835
7.902,800.569,1525.509
7.909,801.503,1527.712
7.918,802.899,1531.009
7.929,804.476,1534.734
7.935,805.247,1536.559
7.94,806.022,1538.394
7.947,806.962,1540.619
7.957,808.367,1543.95
7.972,810.465,1548.926
7.979,811.351,1551.027
7.985,812.313,1553.31
7.996,813.752,1556.727
8.011,815.9,1561.832
8.019,816.984,1564.411
8.027,818.085,1567.034
8.04,819.73,1570.955
8.058,822.185,1576.811
8.067,823.436,1579.799
8.079,825.039,1583.627
8.097,827.428,1589.342
8.109,828.984,1593.066
8.122,830.754,1597.311
8.142,833.393,1603.645
8.156,835.24,1608.084
8.177,837.853,1614.368
8.206,841.593,1623.384
8.25,847.126,1636.761
8.27,849.627,1642.822
# Event BURNOUT occurred at t=8.3 seconds
8.3,853.393,1651.97
8.335,857.632,1662.288
8.385,863.651,1676.993
8.435,869.564,1691.5
8.453,871.718,1696.797
8.481,874.922,1704.695
8.507,877.886,1712.018
8.545,882.284,1722.915
8.595,887.884,1736.841
8.645,893.393,1750.601
8.695,898.812,1764.199
8.738,903.412,1775.79
8.788,908.673,1789.104
8.838,913.851,1802.271
8.888,918.949,1815.296
8.938,923.969,1828.184
8.988,928.913,1840.938
9.038,933.782,1853.561
9.088,938.577,1866.059
9.138,943.301,1878.433
9.188,947.954,1890.687
9.238,952.539,1902.824
9.288,957.056,1914.847
9.338,961.507,1926.758
9.388,965.893,1938.561
9.438,970.214,1950.257
9.488,974.473,1961.849
9.538,978.671,1973.34
9.588,982.807,1984.731
9.638,986.884,1996.025
9.688,990.902,2007.223
9.738,994.862,2018.329
9.788,998.765,2029.343
9.838,1002.612,2040.267
9.888,1006.403,2051.104
9.938,1010.14,2061.854
9.988,1013.823,2072.52
10.038,1017.454,2083.103
10.088,1021.031,2093.605
10.138,1024.558,2104.027
10.188,1028.033,2114.371
10.238,1031.458,2124.638
10.288,1034.833,2134.829
10.338,1038.16,2144.946
10.388,1041.437,2154.99
10.438,1044.668,2164.962
10.488,1047.85,2174.864
10.538,1050.986,2184.696
10.588,1054.076,2194.46
10.638,1057.12,2204.157
