# LaOnRigoleVite (Up to date)
# 740 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (25,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.896,1630.845,351.483
5.946,1643.981,354.513
5.996,1656.971,357.514
6.046,1669.817,360.489
6.096,1682.523,363.436
6.146,1695.092,366.357
6.196,1707.527,369.253
6.246,1719.832,372.124
6.296,1732.008,374.97
6.346,1744.058,377.793
6.396,1755.986,380.593
6.446,1767.793,383.371
6.496,1779.483,386.126
6.546,1791.056,388.86
6.596,1802.515,391.572
6.646,1813.863,394.264
6.696,1825.102,396.936
6.746,1836.233,399.588
6.796,1847.258,402.22
6.846,1858.179,404.834
6.896,1868.998,407.429
6.946,1879.717,410.006
6.996,1890.336,412.565
7.046,1900.859,415.106
7.096,1911.286,417.63
7.146,1921.619,420.137
7.196,1931.859,422.628
7.246,1942.008,425.102
7.296,1952.067,427.561
7.346,1962.037,430.003
7.396,1971.92,432.431
7.446,1981.717,434.843
7.496,1991.429,437.24
7.546,2001.058,439.623
7.596,2010.604,441.991
7.646,2020.069,444.345
7.696,2029.454,446.685
7.746,2038.759,449.012
7.796,2047.986,451.325
7.846,2057.136,453.625
7.896,2066.21,455.912
7.946,2075.209,458.186
7.996,2084.134,460.447
8.046,2092.985,462.696
8.096,2101.764,464.933
8.146,2110.471,467.158
8.196,2119.108,469.371
8.246,2127.675,471.573
8.296,2136.172,473.762
8.346,2144.602,475.941
8.396,2152.964,478.108
8.446,2161.259,480.265
8.496,2169.488,482.411
8.546,2177.652,484.546
8.596,2185.752,486.67
8.646,2193.788,488.784
8.696,2201.76,490.888
8.746,2209.67,492.982
8.796,2217.519,495.066
8.846,2225.306,497.14
8.896,2233.032,499.205
8.946,2240.699,501.26
8.996,2248.306,503.306
9.046,2255.854,505.342
9.096,2263.344,507.37
9.146,2270.777,509.388
9.196,2278.152,511.398
9.246,2285.471,513.398
9.296,2292.734,515.39
9.346,2299.941,517.374
9.396,2307.094,519.349
9.446,2314.192,521.316
9.496,2321.236,523.275
9.546,2328.226,525.225
9.596,2335.164,527.168
9.646,2342.049,529.102
9.696,2348.882,531.029
9.746,2355.663,532.949
9.796,2362.393,534.86
9.846,2369.072,536.764
9.896,2375.701,538.661
9.946,2382.28,540.55
9.996,2388.809,542.433
10.046,2395.29,544.308
10.096,2401.721,546.176
10.146,2408.104,548.037
10.196,2414.439,549.891
10.246,2420.727,551.738
10.296,2426.968,553.579
10.346,2433.161,555.413
10.396,2439.308,557.241
10.446,2445.409,559.062
10.496,2451.464,560.876
10.546,2457.474,562.685
10.596,2463.438,564.487
10.646,2469.358,566.283
10.696,2475.233,568.073
10.746,2481.064,569.856
10.796,2486.851,571.634
10.846,2492.595,573.406
10.896,2498.295,575.172
10.946,2503.952,576.933
10.996,2509.567,578.688
11.046,2515.139,580.437
11.096,2520.669,582.18
11.146,2526.157,583.918
11.196,2531.604,585.651
11.246,2537.01,587.378
11.296,2542.374,589.1
11.346,2547.698,590.816
11.396,2552.981,592.528
11.446,2558.224,594.234
11.496,2563.427,595.935
11.546,2568.59,597.632
11.596,2573.713,599.323
11.646,2578.798,601.009
11.696,2583.843,602.691
11.746,2588.849,604.367
11.796,2593.817,606.039
11.846,2598.747,607.706
11.896,2603.638,609.369
11.946,2608.491,611.027
11.996,2613.307,612.68
12.046,2618.085,614.329
12.096,2622.826,615.973
12.146,2627.529,617.613
12.196,2632.196,619.249
12.246,2636.826,620.88
12.296,2641.42,622.507
12.346,2645.977,624.13
12.396,2650.498,625.748
12.446,2654.983,627.363
12.496,2659.433,628.973
12.546,2663.847,630.58
12.596,2668.225,632.182
12.646,2672.568,633.78
12.696,2676.876,635.375
12.746,2681.15,636.965
12.796,2685.388,638.552
12.846,2689.592,640.135
12.896,2693.762,641.714
12.946,2697.897,643.289
12.996,2701.999,644.861
13.046,2706.066,646.429
13.096,2710.1,647.994
13.146,2714.1,649.555
13.196,2718.067,651.112
13.246,2722,652.666
13.296,2725.901,654.216
13.346,2729.768,655.763
13.396,2733.602,657.307
13.446,2737.404,658.847
13.496,2741.173,660.384
13.546,2744.91,661.918
13.596,2748.614,663.448
13.646,2752.287,664.975
13.696,2755.927,666.499
13.746,2759.535,668.02
13.796,2763.112,669.538
13.846,2766.657,671.052
13.896,2770.17,672.564
13.946,2773.652,674.072
13.996,2777.102,675.578
14.046,2780.522,677.08
14.096,2783.91,678.58
14.146,2787.268,680.077
14.196,2790.594,681.571
14.246,2793.89,683.061
14.296,2797.156,684.55
14.346,2800.391,686.035
14.396,2803.595,687.518
14.446,2806.769,688.997
14.496,2809.913,690.475
14.546,2813.027,691.949
14.596,2816.111,693.421
14.646,2819.165,694.89
14.696,2822.19,696.357
14.746,2825.185,697.821
14.796,2828.15,699.282
14.846,2831.086,700.741
14.896,2833.992,702.198
14.946,2836.869,703.652
14.996,2839.717,705.103
15.046,2842.536,706.552
15.096,2845.325,707.999
15.146,2848.086,709.444
15.196,2850.818,710.886
15.246,2853.522,712.325
15.296,2856.196,713.763
15.346,2858.842,715.198
15.396,2861.46,716.631
15.446,2864.049,718.061
15.496,2866.61,719.49
15.546,2869.142,720.916
15.596,2871.647,722.34
15.646,2874.123,723.762
15.696,2876.571,725.182
15.746,2878.992,726.6
15.796,2881.384,728.015
15.846,2883.749,729.429
15.896,2886.086,730.84
15.946,2888.395,732.25
15.996,2890.676,733.657
16.046,2892.931,735.063
16.096,2895.157,736.466
16.146,2897.357,737.868
16.196,2899.529,739.268
16.246,2901.673,740.665
16.296,2903.791,742.061
16.346,2905.881,743.455
16.396,2907.944,744.848
16.446,2909.981,746.238
16.496,2911.99,747.627
16.546,2913.973,749.013
16.596,2915.928,750.398
16.646,2917.857,751.782
16.696,2919.759,753.163
16.746,2921.635,754.543
16.796,2923.484,755.921
16.846,2925.306,757.297
16.896,2927.102,758.672
16.946,2928.872,760.045
16.996,2930.615,761.416
17.046,2932.332,762.786
17.096,2934.022,764.154
17.146,2935.687,765.521
17.196,2937.325,766.886
17.246,2938.937,768.249
17.296,2940.523,769.611
17.346,2942.082,770.971
17.396,2943.616,772.33
17.446,2945.124,773.687
17.496,2946.606,775.043
17.546,2948.063,776.397
17.596,2949.493,777.75
17.646,2950.898,779.101
17.696,2952.277,780.451
17.746,2953.63,781.8
17.796,2954.958,783.147
17.846,2956.26,784.492
17.896,2957.536,785.837
17.946,2958.787,787.179
17.996,2960.013,788.521
18.046,2961.213,789.861
18.096,2962.388,791.2
18.146,2963.537,792.537
18.196,2964.661,793.873
18.246,2965.76,795.208
18.296,2966.834,796.541
18.346,2967.882,797.873
18.396,2968.906,799.204
18.446,2969.904,800.534
18.496,2970.877,801.862
18.546,2971.825,803.189
18.596,2972.748,804.515
18.646,2973.646,805.839
18.696,2974.519,807.163
18.746,2975.368,808.485
18.796,2976.191,809.806
18.846,2976.99,811.125
18.896,2977.763,812.444
18.946,2978.513,813.761
18.996,2979.237,815.077
19.046,2979.936,816.392
19.096,2980.611,817.706
19.146,2981.262,819.019
19.196,2981.887,820.331
19.246,2982.488,821.641
19.296,2983.065,822.95
19.346,2983.617,824.259
19.396,2984.144,825.566
19.446,2984.648,826.872
19.496,2985.126,828.177
19.546,2985.58,829.481
19.596,2986.01,830.784
19.646,2986.416,832.086
19.696,2986.797,833.387
19.746,2987.154,834.687
19.796,2987.487,835.985
19.846,2987.795,837.283
19.896,2988.079,838.58
19.946,2988.339,839.876
