# LaOnRigoleVite (Up to date)
# 354 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (25,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
10.65,867.121,235.589
10.7,867.841,236.412
10.75,868.537,237.234
10.8,869.207,238.054
10.85,869.853,238.873
10.9,870.474,239.691
10.95,871.07,240.508
11,871.641,241.324
11.05,872.188,242.138
11.1,872.71,242.951
11.15,873.207,243.763
11.2,873.68,244.574
11.25,874.129,245.384
11.3,874.553,246.192
11.35,874.953,246.999
11.4,875.328,247.805
11.45,875.68,248.61
11.5,876.007,249.414
11.55,876.31,250.217
11.6,876.589,251.019
11.65,876.845,251.819
11.7,877.076,252.618
11.75,877.283,253.417
11.8,877.467,254.214
11.85,877.627,255.01
11.9,877.763,255.806
11.95,877.875,256.6
12,877.964,257.393
12.05,878.03,258.185
12.1,878.072,258.977
12.15,878.09,259.767
# Event APOGEE occurred at t=12.2 seconds
12.2,878.086,260.557
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=12.201 seconds
12.25,878.057,261.345
12.351,877.927,262.937
12.454,877.693,264.528
12.558,877.355,266.119
12.663,876.91,267.711
12.769,876.355,269.302
12.876,875.687,270.893
12.985,874.904,272.486
13.096,874.002,274.08
13.207,872.978,275.675
13.321,871.826,277.274
13.436,870.543,278.876
13.554,869.122,280.483
13.673,867.558,282.096
13.795,865.842,283.716
13.92,863.968,285.344
14.047,861.925,286.981
14.178,859.703,288.63
14.312,857.289,290.291
14.451,854.67,291.967
14.594,851.829,293.659
14.742,848.746,295.369
14.895,845.4,297.1
15.055,841.765,298.854
15.221,837.81,300.634
15.396,833.499,302.443
15.58,828.787,304.284
15.775,823.623,306.161
15.982,817.941,308.078
16.203,811.661,310.041
16.442,804.681,312.056
16.7,796.872,314.128
16.984,788.065,316.265
17.298,778.033,318.477
17.651,766.464,320.775
18.054,752.918,323.169
18.525,736.74,325.675
19.025,719.194,328.026
19.525,701.366,330.087
20.025,683.326,331.89
20.525,665.126,333.464
21.025,646.809,334.836
21.525,628.406,336.032
22.025,609.943,337.072
22.525,591.438,337.978
23.025,572.905,338.764
23.525,554.355,339.448
24.025,535.797,340.041
24.525,517.236,340.557
25.025,498.677,341.004
25.525,480.123,341.392
26.025,461.578,341.729
26.525,443.044,342.022
27.025,424.521,342.275
27.525,406.012,342.495
28.025,387.518,342.685
28.525,369.038,342.85
29.025,350.573,342.994
29.525,332.125,343.118
30.025,313.692,343.225
30.525,295.275,343.318
31.025,276.875,343.399
31.525,258.49,343.469
32.025,240.122,343.529
32.525,221.77,343.582
33.025,203.435,343.627
33.525,185.115,343.666
34.025,166.812,343.7
34.525,148.525,343.729
35.025,130.254,343.755
35.525,111.999,343.777
36.025,93.76,343.796
36.525,75.536,343.812
37.025,57.329,343.827
37.525,39.137,343.839
38.025,20.961,343.85
38.525,2.801,343.859
# Event GROUND_HIT occurred at t=38.602 seconds
# Event SIMULATION_END occurred at t=38.602 seconds
38.602,0,343.86
