# LaOnRigoleVite (Up to date)
# 823 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
6.548,1093.29,1489.907
6.598,1099.589,1499.889
6.648,1105.813,1509.79
6.698,1111.962,1519.611
6.748,1118.037,1529.354
6.798,1124.041,1539.02
6.848,1129.974,1548.611
6.898,1135.836,1558.128
6.948,1141.63,1567.574
6.998,1147.356,1576.948
7.048,1153.015,1586.253
7.098,1158.608,1595.489
7.148,1164.137,1604.659
7.198,1169.601,1613.763
7.248,1175.002,1622.802
7.298,1180.341,1631.777
7.348,1185.618,1640.69
7.398,1190.835,1649.542
7.448,1195.991,1658.334
7.498,1201.089,1667.066
7.548,1206.128,1675.74
7.598,1211.11,1684.357
7.648,1216.034,1692.917
7.698,1220.902,1701.422
7.748,1225.715,1709.872
7.798,1230.473,1718.269
7.848,1235.176,1726.613
7.898,1239.826,1734.904
7.948,1244.422,1743.145
7.998,1248.966,1751.335
8.048,1253.458,1759.475
8.098,1257.898,1767.566
8.148,1262.288,1775.609
8.198,1266.627,1783.604
8.248,1270.917,1791.553
8.298,1275.157,1799.455
8.348,1279.349,1807.312
8.398,1283.492,1815.124
8.448,1287.587,1822.892
8.498,1291.635,1830.616
8.548,1295.636,1838.297
8.598,1299.59,1845.936
8.648,1303.499,1853.533
8.698,1307.361,1861.088
8.748,1311.179,1868.603
8.798,1314.952,1876.078
8.848,1318.68,1883.513
8.898,1322.364,1890.908
8.948,1326.005,1898.266
8.998,1329.602,1905.585
9.048,1333.157,1912.866
9.098,1336.669,1920.11
9.148,1340.139,1927.318
9.198,1343.567,1934.489
9.248,1346.953,1941.625
9.298,1350.298,1948.725
9.348,1353.603,1955.79
9.398,1356.867,1962.821
9.448,1360.09,1969.817
9.498,1363.274,1976.78
9.548,1366.418,1983.71
9.598,1369.523,1990.607
