# LaOnRigoleVite (Up to date)
# 435 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
10.75,455.506,909.343
10.8,454.684,912.097
10.85,453.841,914.843
10.9,452.976,917.58
10.95,452.089,920.307
11,451.181,923.026
11.05,450.252,925.736
11.1,449.301,928.437
11.15,448.329,931.129
11.2,447.336,933.813
11.25,446.322,936.487
11.3,445.287,939.153
11.35,444.23,941.81
11.4,443.153,944.458
11.45,442.055,947.098
11.5,440.936,949.729
11.55,439.796,952.351
11.6,438.635,954.965
11.65,437.454,957.57
11.7,436.253,960.166
11.75,435.031,962.754
11.8,433.788,965.334
11.85,432.525,967.905
11.9,431.242,970.467
11.95,429.939,973.022
12,428.616,975.567
12.05,427.272,978.105
12.1,425.909,980.634
12.15,424.525,983.154
12.2,423.122,985.667
12.25,421.699,988.171
12.3,420.256,990.666
12.35,418.794,993.154
12.4,417.312,995.633
12.45,415.811,998.104
12.5,414.29,1000.567
12.55,412.75,1003.021
12.6,411.19,1005.467
12.65,409.612,1007.906
12.7,408.014,1010.336
12.75,406.397,1012.758
12.8,404.761,1015.171
12.85,403.107,1017.577
12.9,401.433,1019.975
12.95,399.741,1022.364
13,398.03,1024.745
13.05,396.3,1027.119
13.1,394.551,1029.484
13.15,392.785,1031.841
13.2,390.999,1034.19
13.25,389.196,1036.532
13.3,387.374,1038.865
13.35,385.534,1041.19
13.4,383.676,1043.508
13.45,381.8,1045.817
13.5,379.906,1048.119
13.55,377.994,1050.412
13.6,376.064,1052.698
13.65,374.117,1054.976
13.7,372.152,1057.246
13.75,370.169,1059.507
13.8,368.168,1061.762
13.85,366.151,1064.008
13.9,364.115,1066.246
13.95,362.063,1068.477
14,359.993,1070.699
14.05,357.906,1072.914
14.1,355.802,1075.121
14.15,353.682,1077.32
14.2,351.544,1079.512
14.25,349.389,1081.695
14.3,347.218,1083.871
14.35,345.03,1086.039
14.4,342.825,1088.2
14.45,340.604,1090.352
14.5,338.366,1092.497
14.55,336.112,1094.634
14.6,333.842,1096.764
14.65,331.555,1098.885
14.7,329.252,1100.999
14.75,326.934,1103.106
14.8,324.599,1105.204
14.85,322.248,1107.295
14.9,319.882,1109.379
14.95,317.5,1111.454
15,315.102,1113.522
15.05,312.688,1115.583
15.1,310.259,1117.636
15.15,307.815,1119.681
15.2,305.355,1121.718
15.25,302.88,1123.748
15.3,300.39,1125.771
15.35,297.885,1127.786
15.4,295.365,1129.793
15.45,292.829,1131.792
15.5,290.279,1133.785
15.55,287.714,1135.769
15.6,285.135,1137.746
15.65,282.54,1139.716
15.7,279.932,1141.678
15.75,277.308,1143.633
15.8,274.671,1145.58
15.85,272.019,1147.519
15.9,269.353,1149.452
15.95,266.672,1151.376
16,263.978,1153.293
16.05,261.269,1155.203
16.1,258.547,1157.106
16.15,255.811,1159.001
16.2,253.061,1160.888
16.25,250.297,1162.769
16.3,247.52,1164.641
16.35,244.73,1166.507
16.4,241.925,1168.365
16.45,239.108,1170.216
16.5,236.277,1172.059
16.55,233.433,1173.895
16.6,230.576,1175.724
16.65,227.706,1177.546
16.7,224.823,1179.36
16.75,221.927,1181.167
16.8,219.019,1182.966
16.85,216.097,1184.759
16.9,213.163,1186.544
16.95,210.217,1188.322
17,207.257,1190.093
17.05,204.286,1191.856
17.1,201.302,1193.612
17.15,198.306,1195.362
17.2,195.298,1197.103
17.25,192.278,1198.838
17.3,189.245,1200.566
17.35,186.201,1202.287
17.4,183.145,1204
17.45,180.077,1205.706
17.5,176.998,1207.406
17.55,173.906,1209.098
17.6,170.804,1210.783
17.65,167.689,1212.461
17.7,164.564,1214.132
17.75,161.427,1215.796
17.8,158.279,1217.453
17.85,155.12,1219.103
17.9,151.949,1220.746
17.95,148.768,1222.382
18,145.576,1224.011
18.05,142.373,1225.634
18.1,139.159,1227.249
18.15,135.934,1228.857
18.2,132.699,1230.459
18.25,129.453,1232.054
18.3,126.197,1233.641
18.35,122.93,1235.222
18.4,119.653,1236.796
18.45,116.366,1238.364
18.5,113.069,1239.924
18.55,109.761,1241.478
18.6,106.444,1243.025
18.65,103.116,1244.565
18.7,99.779,1246.099
18.75,96.432,1247.625
18.8,93.075,1249.145
18.85,89.708,1250.659
18.9,86.332,1252.165
18.95,82.946,1253.665
19,79.551,1255.159
19.05,76.147,1256.646
19.1,72.733,1258.126
19.15,69.31,1259.599
19.2,65.877,1261.066
19.25,62.436,1262.527
19.3,58.986,1263.981
19.35,55.526,1265.428
19.4,52.058,1266.869
19.45,48.581,1268.303
19.5,45.095,1269.731
19.55,41.601,1271.153
19.6,38.098,1272.568
19.65,34.586,1273.976
19.7,31.066,1275.379
19.75,27.538,1276.775
19.8,24.001,1278.164
19.85,20.456,1279.547
19.9,16.902,1280.924
19.95,13.341,1282.294
20,9.771,1283.659
20.05,6.194,1285.017
20.1,2.608,1286.368
# Event GROUND_HIT occurred at t=20.15 seconds
# Event SIMULATION_END occurred at t=20.15 seconds
20.15,-0.985,1287.714
