# Séparation, actif, 45 (Up to date)
# 517 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
10.249,593.958,1236.428
10.299,594.654,1241.934
10.349,595.323,1247.422
10.399,595.966,1252.893
10.449,596.582,1258.347
10.499,597.172,1263.783
10.549,597.735,1269.203
10.599,598.273,1274.605
10.649,598.784,1279.991
10.699,599.269,1285.36
10.749,599.729,1290.713
10.799,600.162,1296.049
10.849,600.57,1301.368
10.899,600.952,1306.672
10.949,601.309,1311.959
10.999,601.64,1317.23
11.049,601.946,1322.486
11.099,602.226,1327.725
11.149,602.481,1332.949
11.199,602.711,1338.157
11.249,602.916,1343.35
11.299,603.096,1348.527
11.349,603.251,1353.689
11.399,603.381,1358.836
11.449,603.486,1363.967
11.499,603.567,1369.084
11.549,603.623,1374.185
11.599,603.654,1379.272
# Event APOGEE occurred at t=11.649 seconds
11.649,603.661,1384.344
11.699,603.643,1389.401
11.749,603.601,1394.444
11.799,603.535,1399.472
11.849,603.445,1404.486
11.899,603.33,1409.485
11.949,603.191,1414.471
11.999,603.028,1419.442
12.049,602.842,1424.398
12.099,602.631,1429.341
12.149,602.397,1434.27
12.199,602.139,1439.185
12.249,601.857,1444.086
12.299,601.551,1448.974
12.349,601.222,1453.848
12.399,600.87,1458.708
12.449,600.494,1463.555
12.499,600.095,1468.388
12.549,599.672,1473.208
12.599,599.226,1478.015
12.649,598.757,1482.809
12.699,598.265,1487.589
12.749,597.75,1492.356
12.799,597.212,1497.111
12.849,596.65,1501.852
12.899,596.066,1506.58
12.949,595.459,1511.296
12.999,594.83,1515.999
13.049,594.177,1520.689
13.099,593.502,1525.366
13.149,592.805,1530.031
13.199,592.085,1534.683
13.249,591.342,1539.323
13.299,590.577,1543.951
13.349,589.789,1548.566
13.399,588.98,1553.168
13.449,588.148,1557.759
13.499,587.293,1562.337
13.549,586.417,1566.903
13.599,585.518,1571.457
13.649,584.598,1575.999
13.699,583.656,1580.529
13.749,582.691,1585.047
13.799,581.705,1589.554
13.849,580.697,1594.048
13.899,579.667,1598.53
13.949,578.615,1603.001
13.999,577.542,1607.46
14.049,576.447,1611.908
14.099,575.331,1616.344
14.149,574.193,1620.768
14.199,573.033,1625.181
14.249,571.853,1629.582
14.299,570.651,1633.972
14.349,569.427,1638.35
14.399,568.183,1642.717
14.449,566.917,1647.073
14.499,565.63,1651.418
14.549,564.322,1655.751
14.599,562.993,1660.073
14.649,561.642,1664.384
14.699,560.271,1668.684
14.749,558.879,1672.973
14.799,557.467,1677.251
14.849,556.033,1681.518
14.899,554.579,1685.773
14.949,553.104,1690.018
14.999,551.608,1694.252
15.049,550.092,1698.475
15.099,548.556,1702.688
15.149,546.998,1706.889
15.199,545.421,1711.08
15.249,543.823,1715.26
15.299,542.204,1719.43
15.349,540.566,1723.588
15.399,538.907,1727.736
15.449,537.228,1731.874
15.499,535.528,1736.001
15.549,533.809,1740.117
15.599,532.07,1744.223
15.649,530.31,1748.319
15.699,528.531,1752.404
15.749,526.732,1756.478
15.799,524.912,1760.542
15.849,523.073,1764.596
15.899,521.215,1768.639
15.949,519.336,1772.673
