# Séparation, actif, 80 (Up to date)
# 406 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (26,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
10.55,1001.846,281.967
10.6,1003.63,283.051
10.65,1005.385,284.133
10.7,1007.112,285.212
10.75,1008.812,286.29
10.8,1010.483,287.365
10.85,1012.128,288.438
10.9,1013.744,289.509
10.95,1015.334,290.578
11,1016.896,291.645
11.05,1018.43,292.71
11.1,1019.938,293.772
11.15,1021.418,294.833
11.2,1022.872,295.892
11.25,1024.298,296.949
11.3,1025.698,298.004
11.35,1027.071,299.057
11.4,1028.418,300.108
11.45,1029.737,301.157
11.5,1031.031,302.205
11.55,1032.297,303.25
11.6,1033.538,304.294
11.65,1034.752,305.336
11.7,1035.94,306.377
11.75,1037.102,307.415
11.8,1038.238,308.452
11.85,1039.348,309.488
11.9,1040.431,310.521
11.95,1041.489,311.553
12,1042.522,312.584
12.05,1043.528,313.612
12.1,1044.509,314.639
12.15,1045.464,315.665
12.2,1046.393,316.689
12.25,1047.297,317.712
12.3,1048.176,318.732
12.35,1049.029,319.752
12.4,1049.857,320.77
12.45,1050.66,321.786
12.5,1051.437,322.801
12.55,1052.19,323.815
12.6,1052.917,324.827
12.65,1053.619,325.838
12.7,1054.296,326.847
12.75,1054.948,327.855
12.8,1055.575,328.861
12.85,1056.178,329.866
12.9,1056.756,330.87
12.95,1057.309,331.872
13,1057.837,332.874
13.05,1058.34,333.873
13.1,1058.819,334.872
13.15,1059.274,335.869
13.2,1059.704,336.865
13.25,1060.109,337.859
13.3,1060.49,338.853
13.35,1060.847,339.845
13.4,1061.18,340.836
13.45,1061.488,341.826
13.5,1061.772,342.814
13.55,1062.032,343.801
13.6,1062.267,344.787
13.65,1062.479,345.772
13.7,1062.666,346.756
13.75,1062.83,347.739
13.8,1062.969,348.721
13.85,1063.085,349.701
13.9,1063.177,350.681
13.95,1063.244,351.659
14,1063.288,352.637
14.05,1063.309,353.613
# Event APOGEE occurred at t=14.1 seconds
14.1,1063.305,354.589
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=14.101 seconds
14.15,1063.278,355.563
14.25,1063.15,357.506
14.352,1062.922,359.45
14.455,1062.591,361.393
14.559,1062.155,363.337
14.664,1061.611,365.28
14.771,1060.957,367.224
14.879,1060.189,369.167
14.988,1059.304,371.111
15.099,1058.299,373.055
15.212,1057.171,375.001
15.326,1055.915,376.949
15.442,1054.526,378.9
15.56,1053.001,380.854
15.68,1051.331,382.813
15.802,1049.512,384.777
15.927,1047.537,386.748
16.054,1045.395,388.727
16.184,1043.08,390.715
16.318,1040.579,392.714
16.455,1037.881,394.725
16.596,1034.973,396.75
16.741,1031.839,398.791
16.891,1028.46,400.85
17.047,1024.818,402.929
17.208,1020.887,405.03
17.375,1016.64,407.155
17.55,1012.046,409.308
17.733,1007.066,411.491
17.926,1001.655,413.708
18.129,995.759,415.962
18.345,989.312,418.259
18.575,982.235,420.601
18.821,974.427,422.995
19.087,965.765,425.446
19.377,956.088,427.962
19.696,945.188,430.549
20.05,932.788,433.217
20.449,918.507,435.973
20.906,901.809,438.828
21.406,883.19,441.612
21.906,864.285,444.073
22.406,845.16,446.245
22.906,825.866,448.158
23.406,806.445,449.84
23.906,786.929,451.319
24.406,767.343,452.618
24.906,747.709,453.758
25.406,728.04,454.758
25.906,708.349,455.634
26.406,688.646,456.402
26.906,668.937,457.075
27.406,649.228,457.664
27.906,629.524,458.18
28.406,609.827,458.632
28.906,590.141,459.027
29.406,570.467,459.373
29.906,550.806,459.676
30.406,531.16,459.941
30.906,511.53,460.172
31.406,491.916,460.375
31.906,472.318,460.552
32.406,452.738,460.707
32.906,433.175,460.842
33.406,413.63,460.96
33.906,394.103,461.064
34.406,374.595,461.154
34.906,355.104,461.233
35.406,335.633,461.302
35.906,316.18,461.362
36.406,296.745,461.414
36.906,277.329,461.46
37.406,257.931,461.5
37.906,238.551,461.535
38.406,219.19,461.566
38.906,199.847,461.592
39.406,180.522,461.615
39.906,161.215,461.636
40.406,141.927,461.653
