# Séparation, actif, 45 (Up to date)
# 466 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
10.6,492.351,1057.108
10.65,492.04,1060.696
10.7,491.707,1064.271
10.75,491.351,1067.832
10.8,490.971,1071.381
10.85,490.569,1074.916
10.9,490.143,1078.438
10.95,489.695,1081.948
11,489.224,1085.445
11.05,488.731,1088.929
11.1,488.214,1092.4
11.15,487.676,1095.859
11.2,487.114,1099.306
11.25,486.531,1102.74
11.3,485.925,1106.162
11.35,485.297,1109.571
11.4,484.647,1112.969
11.45,483.975,1116.354
11.5,483.28,1119.727
11.55,482.564,1123.089
11.6,481.826,1126.438
11.65,481.067,1129.776
11.7,480.285,1133.102
11.75,479.482,1136.416
11.8,478.657,1139.718
11.85,477.811,1143.009
11.9,476.944,1146.289
11.95,476.055,1149.557
12,475.145,1152.813
12.05,474.213,1156.059
12.1,473.261,1159.293
12.15,472.287,1162.516
12.2,471.292,1165.727
12.25,470.277,1168.928
12.3,469.24,1172.117
12.35,468.183,1175.295
12.4,467.105,1178.463
12.45,466.006,1181.619
12.5,464.887,1184.765
12.55,463.747,1187.9
12.6,462.587,1191.024
12.65,461.406,1194.137
12.7,460.205,1197.24
12.75,458.983,1200.332
12.8,457.742,1203.413
12.85,456.48,1206.484
12.9,455.198,1209.544
12.95,453.896,1212.594
13,452.574,1215.633
13.05,451.232,1218.662
13.1,449.87,1221.681
13.15,448.489,1224.689
13.2,447.088,1227.687
13.25,445.667,1230.674
13.3,444.227,1233.652
13.35,442.767,1236.619
13.4,441.288,1239.576
13.45,439.789,1242.523
13.5,438.271,1245.46
13.55,436.734,1248.387
13.6,435.177,1251.304
13.65,433.602,1254.211
13.7,432.007,1257.108
13.75,430.394,1259.995
13.8,428.762,1262.872
13.85,427.111,1265.74
13.9,425.441,1268.597
13.95,423.752,1271.445
14,422.045,1274.283
14.05,420.319,1277.111
14.1,418.575,1279.929
14.15,416.812,1282.738
14.2,415.031,1285.537
14.25,413.231,1288.327
14.3,411.414,1291.107
14.35,409.578,1293.877
14.4,407.724,1296.638
14.45,405.852,1299.389
14.5,403.963,1302.131
14.55,402.055,1304.864
14.6,400.13,1307.586
14.65,398.186,1310.3
14.7,396.226,1313.004
14.75,394.247,1315.699
14.8,392.251,1318.384
14.85,390.237,1321.06
14.9,388.206,1323.726
14.95,386.158,1326.384
15,384.092,1329.032
15.05,382.01,1331.671
15.1,379.91,1334.3
15.15,377.793,1336.92
15.2,375.658,1339.532
15.25,373.507,1342.134
15.3,371.34,1344.726
15.35,369.155,1347.31
15.4,366.954,1349.885
15.45,364.736,1352.45
15.5,362.501,1355.006
15.55,360.25,1357.554
15.6,357.983,1360.092
15.65,355.699,1362.621
15.7,353.398,1365.142
15.75,351.082,1367.653
15.8,348.749,1370.155
15.85,346.401,1372.649
15.9,344.036,1375.133
15.95,341.655,1377.609
16,339.259,1380.075
16.05,336.847,1382.533
16.1,334.418,1384.982
16.15,331.975,1387.422
16.2,329.516,1389.854
16.25,327.041,1392.276
16.3,324.55,1394.69
16.35,322.045,1397.095
16.4,319.524,1399.491
16.45,316.988,1401.878
16.5,314.436,1404.257
16.55,311.87,1406.627
16.6,309.288,1408.988
16.65,306.692,1411.341
16.7,304.081,1413.685
16.75,301.455,1416.021
16.8,298.814,1418.347
16.85,296.158,1420.665
16.9,293.488,1422.975
16.95,290.803,1425.276
17,288.104,1427.568
17.05,285.391,1429.852
17.1,282.663,1432.128
17.15,279.921,1434.394
17.2,277.165,1436.653
17.25,274.395,1438.903
17.3,271.611,1441.144
17.35,268.813,1443.377
17.4,266.001,1445.602
17.45,263.175,1447.818
17.5,260.335,1450.025
17.55,257.482,1452.225
17.6,254.615,1454.416
17.65,251.735,1456.599
17.7,248.841,1458.773
17.75,245.934,1460.939
17.8,243.014,1463.097
17.85,240.08,1465.246
17.9,237.134,1467.387
17.95,234.174,1469.52
18,231.201,1471.645
18.05,228.215,1473.761
18.1,225.217,1475.869
18.15,222.205,1477.969
18.2,219.181,1480.061
18.25,216.145,1482.145
18.3,213.095,1484.221
18.35,210.033,1486.288
18.4,206.959,1488.347
18.45,203.873,1490.399
18.5,200.774,1492.442
18.55,197.663,1494.477
18.6,194.539,1496.504
18.65,191.404,1498.523
18.7,188.257,1500.534
18.75,185.098,1502.537
18.8,181.926,1504.533
18.85,178.744,1506.52
18.9,175.549,1508.499
18.95,172.343,1510.47
19,169.125,1512.434
19.05,165.896,1514.389
19.1,162.655,1516.337
19.15,159.403,1518.276
19.2,156.139,1520.208
19.25,152.865,1522.132
19.3,149.579,1524.049
19.35,146.282,1525.957
19.4,142.974,1527.858
19.45,139.655,1529.751
19.5,136.326,1531.636
19.55,132.985,1533.514
